Country,Rank,Score,Unexplained,GDP,Social_support,Health,Freedom,Generosity,Corruption
Malaysia,80,5.339,1.326,1.221,1.171,0.828,0.508,0.260,0.024
Belarus,81,5.323,1.531,1.067,1.465,0.789,0.235,0.094,0.142
Greece,82,5.287,1.848,1.181,1.156,0.999,0.067,0.000,0.034
Mongolia,83,5.285,1.550,0.948,1.531,0.667,0.317,0.235,0.038
Macedonia,84,5.274,1.595,0.983,1.294,0.838,0.345,0.185,0.034
Nigeria,85,5.265,2.530,0.696,1.111,0.245,0.426,0.215,0.041
Kyrgyzstan,86,5.261,1.719,0.551,1.438,0.723,0.508,0.300,0.023
Turkmenistan,87,5.247,1.334,1.052,1.538,0.657,0.394,0.244,0.028
Algeria,88,5.211,1.992,1.002,1.160,0.785,0.086,0.073,0.114
Morocco,89,5.208,2.314,0.801,0.782,0.782,0.418,0.036,0.076
Azerbaijan,90,5.208,1.680,1.043,1.147,0.769,0.351,0.035,0.182
Lebanon,91,5.197,1.762,0.987,1.224,0.815,0.216,0.166,0.027
Indonesia,92,5.192,1.382,0.931,1.203,0.660,0.491,0.498,0.028
China,93,5.191,1.466,1.029,1.125,0.893,0.521,0.058,0.100
Vietnam,94,5.175,1.474,0.741,1.346,0.851,0.543,0.147,0.073
Bhutan,95,5.082,1.350,0.813,1.321,0.604,0.457,0.370,0.167
Cameroon,96,5.044,2.649,0.549,0.910,0.331,0.381,0.187,0.037
Bulgaria,97,5.011,1.195,1.092,1.513,0.815,0.311,0.081,0.004
Ghana,98,4.996,2.367,0.611,0.868,0.486,0.381,0.245,0.040
Ivory Coast,99,4.944,2.739,0.569,0.808,0.232,0.352,0.154,0.090
Nepal,100,4.913,1.751,0.446,1.226,0.677,0.439,0.285,0.089
Jordan,101,4.906,1.406,0.837,1.225,0.815,0.383,0.110,0.130
Benin,102,4.883,3.049,0.393,0.437,0.397,0.349,0.175,0.082
Congo (Brazzaville),103,4.812,2.262,0.673,0.799,0.508,0.372,0.105,0.093
Gabon,104,4.799,1.596,1.057,1.183,0.571,0.295,0.043,0.055
Laos,105,4.796,1.473,0.764,1.030,0.551,0.547,0.266,0.164
South Africa,106,4.722,1.369,0.960,1.351,0.469,0.389,0.130,0.055
Albania,107,4.719,1.461,0.947,0.848,0.874,0.383,0.178,0.027
Venezuela,108,4.707,1.250,0.960,1.427,0.805,0.154,0.064,0.047
Cambodia,109,4.700,1.465,0.574,1.122,0.637,0.609,0.232,0.062
Palestinian Territories,110,4.696,1.727,0.657,1.247,0.672,0.225,0.103,0.066
Senegal,111,4.681,2.009,0.450,1.134,0.571,0.292,0.153,0.072
Somalia,112,4.668,2.629,0.000,0.698,0.268,0.559,0.243,0.270
Namibia,113,4.639,1.443,0.879,1.313,0.477,0.401,0.070,0.056
Niger,114,4.628,2.742,0.138,0.774,0.366,0.318,0.188,0.102
Burkina Faso,115,4.587,2.275,0.331,1.056,0.380,0.255,0.177,0.113
Armenia,116,4.559,1.398,0.850,1.055,0.815,0.283,0.095,0.064
Iran,117,4.548,1.121,1.100,0.842,0.785,0.305,0.270,0.125
Guinea,118,4.534,2.325,0.380,0.829,0.375,0.332,0.207,0.086
Georgia,119,4.519,1.662,0.886,0.666,0.752,0.346,0.043,0.164
Gambia,120,4.516,2.023,0.308,0.939,0.428,0.382,0.269,0.167
Kenya,121,4.509,1.576,0.512,0.983,0.581,0.431,0.372,0.053
Mauritania,122,4.490,2.005,0.570,1.167,0.489,0.066,0.106,0.088
Mozambique,123,4.466,2.058,0.204,0.986,0.390,0.494,0.197,0.138
Tunisia,124,4.461,1.444,0.921,1.000,0.815,0.167,0.059,0.055
Bangladesh,125,4.456,1.406,0.562,0.928,0.723,0.527,0.166,0.143
Iraq,126,4.437,1.362,1.043,0.980,0.574,0.241,0.148,0.089
Congo (Kinshasa),127,4.418,2.308,0.094,1.125,0.357,0.269,0.212,0.053
Mali,128,4.390,2.061,0.385,1.105,0.308,0.327,0.153,0.052
Sierra Leone,129,4.374,2.416,0.268,0.841,0.242,0.309,0.252,0.045
Sri Lanka,130,4.366,0.559,0.949,1.265,0.831,0.470,0.244,0.047
Myanmar,131,4.360,0.652,0.710,1.181,0.555,0.525,0.566,0.172
Chad,132,4.350,2.591,0.350,0.766,0.192,0.174,0.198,0.078
Ukraine,133,4.332,1.008,0.820,1.390,0.739,0.178,0.187,0.010
Ethiopia,134,4.286,1.731,0.336,1.033,0.532,0.344,0.209,0.100
Swaziland,135,4.212,1.730,0.811,1.149,0.000,0.313,0.074,0.135
Uganda,136,4.189,1.677,0.332,1.069,0.443,0.356,0.252,0.060
Egypt,137,4.166,1.187,0.913,1.039,0.644,0.241,0.076,0.067
Zambia,138,4.107,1.280,0.578,1.058,0.426,0.431,0.247,0.087
Togo,139,4.085,2.273,0.275,0.572,0.410,0.293,0.177,0.085
